Ticker,Date
ATI,3/9/2026
ROST,3/9/2026
FDX,3/9/2026
WDC,3/9/2026
COHR,3/9/2026
JNJ,3/9/2026
TER,3/9/2026
AMAT,3/9/2026
LITE,3/9/2026
CIEN,3/9/2026
MU,3/9/2026
WWD,3/9/2026
MRK,3/9/2026
PH,3/9/2026
FTI,3/9/2026
SNDK,3/9/2026
HAL,3/9/2026
JBHT,3/9/2026
DD,3/9/2026
SCCO,3/9/2026
HII,3/9/2026
STLD,3/9/2026
AME,3/9/2026
CMI,3/9/2026
CAT,3/9/2026
ALB,3/9/2026
WAB,3/9/2026
MTSI,3/9/2026
RTX,3/9/2026
NEM,3/9/2026
ATI,3/13/2026
ROST,3/13/2026
COHR,3/13/2026
JNJ,3/13/2026
FDX,3/13/2026
TER,3/13/2026
LITE,3/13/2026
CIEN,3/13/2026
WDC,3/13/2026
AMAT,3/13/2026
MU,3/13/2026
FTI,3/13/2026
WWD,3/13/2026
HAL,3/13/2026
SNDK,3/13/2026
MRK,3/13/2026
HII,3/13/2026
CAT,3/13/2026
RTX,3/13/2026
SCCO,3/13/2026
DD,3/13/2026
WAB,3/13/2026
FIX,3/13/2026
AME,3/13/2026
MTSI,3/13/2026
JBHT,3/13/2026
ALB,3/13/2026
BMY,3/13/2026
LRCX,3/13/2026
CMI,3/13/2026
ATI,3/17/2026
ROST,3/17/2026
COHR,3/17/2026
TER,3/17/2026
CIEN,3/17/2026
JNJ,3/17/2026
WDC,3/17/2026
LITE,3/17/2026
FDX,3/17/2026
FTI,3/17/2026
AMAT,3/17/2026
MU,3/17/2026
WWD,3/17/2026
SNDK,3/17/2026
HAL,3/17/2026
HII,3/17/2026
RTX,3/17/2026
MRK,3/17/2026
FIX,3/17/2026
CAT,3/17/2026
WAB,3/17/2026
SCCO,3/17/2026
BMY,3/17/2026
MTSI,3/17/2026
DD,3/17/2026
MTZ,3/17/2026
AME,3/17/2026
WMT,3/17/2026
LRCX,3/17/2026
ALB,3/17/2026
ATI,3/18/2026
ROST,3/18/2026
COHR,3/18/2026
TER,3/18/2026
CIEN,3/18/2026
WDC,3/18/2026
LITE,3/18/2026
JNJ,3/18/2026
FTI,3/18/2026
FDX,3/18/2026
AMAT,3/18/2026
MU,3/18/2026
SNDK,3/18/2026
WWD,3/18/2026
HAL,3/18/2026
FIX,3/18/2026
HII,3/18/2026
RTX,3/18/2026
CAT,3/18/2026
MRK,3/18/2026
WAB,3/18/2026
BMY,3/18/2026
MTZ,3/18/2026
MTSI,3/18/2026
SCCO,3/18/2026
DD,3/18/2026
XOM,3/18/2026
KEYS,3/18/2026
LRCX,3/18/2026
WMT,3/18/2026
